2023-11-28 21:14:50 install libp11-kit0:amd64 <none> 0.24.1-2
2023-11-28 21:14:50 status half-installed libp11-kit0:amd64 0.24.1-2
2023-11-28 21:14:50 status unpacked libp11-kit0:amd64 0.24.1-2
2023-11-28 21:14:50 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 21:14:50 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 21:14:51 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2023-11-28 21:14:51 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2023-11-28 21:14:51 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2023-11-28 21:14:51 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2023-11-28 21:14:51 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2023-11-28 21:14:51 install libpcre2-8-0:amd64 <none> 10.42-1
2023-11-28 21:14:51 status half-installed libpcre2-8-0:amd64 10.42-1
2023-11-28 21:14:51 status unpacked libpcre2-8-0:amd64 10.42-1
2023-11-28 21:14:51 install libperl5.36:amd64 <none> 5.36.0-7
2023-11-28 21:14:51 status half-installed libperl5.36:amd64 5.36.0-7
2023-11-28 21:14:53 status unpacked libperl5.36:amd64 5.36.0-7
2023-11-28 21:14:53 install perl:amd64 <none> 5.36.0-7
2023-11-28 21:14:53 status half-installed perl:amd64 5.36.0-7
2023-11-28 21:14:54 status unpacked perl:amd64 5.36.0-7
2023-11-28 21:14:54 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-11-28 21:14:54 status half-configured perl-base:amd64 5.36.0-7
2023-11-28 21:14:54 status unpacked perl-base:amd64 5.36.0-7
2023-11-28 21:14:54 status half-installed perl-base:amd64 5.36.0-7
2023-11-28 21:14:55 status unpacked perl-base:amd64 5.36.0-7
2023-11-28 21:14:55 install perl-modules-5.36:all <none> 5.36.0-7
2023-11-28 21:14:55 status half-installed perl-modules-5.36:all 5.36.0-7
2023-11-28 21:14:57 status unpacked perl-modules-5.36:all 5.36.0-7
2023-11-28 21:14:57 install sed:amd64 <none> 4.9-1
2023-11-28 21:14:57 status half-installed sed:amd64 4.9-1
2023-11-28 21:14:58 status unpacked sed:amd64 4.9-1
2023-11-28 21:14:58 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2023-11-28 21:14:58 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2023-11-28 21:14:58 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2023-11-28 21:14:58 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2023-11-28 21:14:58 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2023-11-28 21:14:59 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2023-11-28 21:14:59 install libsystemd0:amd64 <none> 252.17-1~deb12u1
2023-11-28 21:14:59 status half-installed libsystemd0:amd64 252.17-1~deb12u1
2023-11-28 21:14:59 status unpacked libsystemd0:amd64 252.17-1~deb12u1
2023-11-28 21:14:59 install libudev1:amd64 <none> 252.17-1~deb12u1
2023-11-28 21:14:59 status half-installed libudev1:amd64 252.17-1~deb12u1
2023-11-28 21:14:59 status unpacked libudev1:amd64 252.17-1~deb12u1
